Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
China,Mobile Phones,"Letv (Leshi Internet Information & Technology Corp, Beijing)","Leshi Internet Information & Technology Corp, Beijing",Retail Volume,000 units,"18,000.0","8,000.0",-,-,-,-
China,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"4,252.0","2,451.6","2,731.4","2,178.0","1,506.8","1,008.6"
Indonesia,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"1,641.6","1,275.1",996.5,577.3,305.2,158.7
Philippines,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"1,316.1","1,162.8",892.0,753.7,477.5,513.0
Thailand,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,620.3,704.2,721.7,520.0,422.2,474.6
India,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"8,766.0","10,633.8","11,285.5","8,063.5","5,535.1","2,076.2"
Vietnam,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,538.9,680.5,700.1,580.0,473.1,531.8
Malaysia,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,439.9,431.1,186.6,154.0,30.8,12.3
India,Mobile Phones,Lava (Lava International Ltd),Lava International Ltd,Retail Volume,000 units,"11,695.3","14,294.9","10,169.5","13,918.0","14,455.0","15,510.5"
Indonesia,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,383.5,360.2,244.0,32.4,-,-
Singapore,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,29.2,32.7,23.4,17.1,11.0,7.2
Vietnam,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,372.4,224.8,170.3,155.1,127.2,97.0
Philippines,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,971.9,724.8,532.0,461.2,264.4,94.6
Malaysia,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,49.2,57.9,23.2,4.6,-,-
USA,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,"24,347.3","23,295.9","19,854.2","15,880.7","13,132.1","11,160.5"
India,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,"1,343.2",-,-,-,-,-
Thailand,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,145.9,147.5,105.6,77.0,29.5,7.3
China,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,"2,371.2","1,185.6",-,-,-,-
USA,Mobile Phones,Kyocera (Kyocera Corp),Kyocera Corp,Retail Volume,000 units,717.7,448.5,315.6,252.0,182.6,135.1
China,Mobile Phones,Konka (Konka Group Co Ltd),Konka Group Co Ltd,Retail Volume,000 units,-,-,-,-,-,-
India,Mobile Phones,Karbonn (Karbonn Mobile India Pvt Ltd),Karbonn Mobile India Pvt Ltd,Retail Volume,000 units,"10,027.3","10,693.0","9,364.7","7,076.0","4,363.5","1,470.0"
China,Mobile Phones,K-Touch (Beijing Tianyu Communication Equipment Co Ltd),Beijing Tianyu Communication Equipment Co Ltd,Retail Volume,000 units,150.0,50.0,47.0,46.0,41.0,39.0
India,Mobile Phones,JioPhone (Reliance Jio infocomm Ltd),Reliance Jio infocomm Ltd,Retail Volume,000 units,-,"15,416.1","47,300.1","37,435.9","20,653.0","9,987.5"
India,Mobile Phones,Itel (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,"5,776.7","14,449.1","15,605.0","16,385.3","21,230.8","22,136.2"
India,Mobile Phones,Intex (Intex Technologies (India) Ltd),Intex Technologies (India) Ltd,Retail Volume,000 units,"19,046.3","20,754.1","16,979.7","11,994.9","5,705.4","2,820.5"
Thailand,Mobile Phones,I-Mobile (Samart Corp Plc),Samart Corp Plc,Retail Volume,000 units,"1,238.8",836.1,122.2,-,-,-
Vietnam,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,459.4,514.5,661.2,789.6,695.7,725.7
Thailand,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,603.8,"1,728.8","2,901.2","3,356.1","2,997.5","3,126.7"
Malaysia,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,765.0,994.5,"1,379.1","1,172.2",914.4,953.8
China,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,"77,361.8","92,089.4","105,926.0","136,870.4","119,847.0","51,534.0"
Philippines,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,996.8,"1,006.8","1,262.0","1,241.8","1,268.6","1,323.5"
